id,title,source,rank,has changed?,for1,for2,for3,ISSN1,ISSN2,ISSN3,ISSN4
366,Computers in Industry,CORE2020,B,No,0803,0805,1702,0166-3615,1872-6194,,
28,Computing,CORE2020,B,Yes,08,01,,0010-485X,1436-5057,,
312,Computing in Science and Engineering,CORE2020,C,No,0802,0805,0103,1521-9615,1558-366X,,
447,Concurrency and Computation: Practice and Experience,CORE2020,B,Yes,0805,,,1532-0626,1532-0634,1040-3108,
86,Congressus Numerantium: a conference journal on numerical themes,CORE2020,C,No,0802,0101,,0384-9864,0384-997X,,
187,"Connection Science: journal of neural computing, artificial intelligence, and cognitive research",CORE2020,B,No,0801,1702,,0954-0091,1360-0494,,
137,Constraints,CORE2020,A,No,0801,0803,,1383-7133,1572-9354,,
231,Control and Cybernetics,CORE2020,C,No,0801,0802,,0324-8569,,,
232,Cryptologia: a quarterly journal devoted to all aspects of cryptology,CORE2020,C,No,0801,0802,,0161-1194,1558-1586,,
122,Current Bioinformatics,CORE2020,C,No,0899,0601,,1574-8936,,,
188,Cybernetics and Systems,CORE2020,B,No,0801,1702,,0196-9722,1087-6553,,
422,Data and Knowledge Engineering,CORE2020,B,No,0804,,,0169-023X,1872-6933,,
423,Data Base for Advances in Information Systems,CORE2020,B,No,0804,0806,,1532-0936,,,
139,Data Mining and Knowledge Discovery,CORE2020,A,No,0801,0804,,1384-5810,1573-756X,,
431,Data Science Journal,CORE2020,C,No,0804,,,1683-1470,,,
31,Decision Support Systems,CORE2020,not primarily CS,Yes,08,15,01,0167-9236,1873-5797,,
72,"Design, Codes and Cryptography",CORE2020,B,Yes,0802,0101,0906,0925-1022,1573-7586,,
162,Digital Creativity,CORE2020,C,Yes,0801,1902,1203,1462-6268,1744-3806,,
798,"Digital Forensics, Security and Law. Journal",CORE2020,C,No,0899,,,1558-7215,1558-7223,,
799,Digital Investigation,CORE2020,C,No,0899,,,1742-2876,1873-202X,,
313,Discrete Event Dynamic Systems,CORE2020,C,No,0802,0102,,0924-6703,1573-7594,,
82,Discrete Mathematics,CORE2020,B,No,0802,0102,0101,0012-365X,1872-681X,,
10,Discrete Mathematics and Theoretical Computer Science,CORE2020,B,No,08,01,,1365-8050,,,
314,Discussiones Mathematicae. Graph Theory,CORE2020,C,No,0802,,,1234-3099,,,
189,Displays,CORE2020,B,No,0801,0806,0906,0141-9382,1872-7387,,
414,Distributed and Parallel Databases,CORE2020,B,Yes,0804,0805,,0926-8782,1573-7578,,
448,Distributed Computing,CORE2020,A,No,0805,,,0178-2770,1432-0452,,
49,Egyptian Computer Science Journal,CORE2020,C,No,08,,,1110-2586,,,
506,Electronic Commerce Research,CORE2020,B,Yes,0806,,,1389-5753,1572-9362,,
560,Electronic Commerce Research and Applications,CORE2020,B,Yes,0806,,,1567-4223,1873-7846,,
533,Electronic Journal of Information Systems Evaluation,CORE2020,B,No,0806,,,1566-6379,,,
233,Electronic Journal of Knowledge Management,CORE2020,C,No,0801,0806,,1479-4411,,,
562,Electronic Journal of Organizational Virtualness,CORE2020,C,No,0806,,,1422-9331,,,
638,Electronic Markets,CORE2020,A,No,0807,0806,,1019-6781,1422-8890,,
315,Electronic Notes in Discrete Mathematics,CORE2020,C,No,0802,,,1571-0653,,,
316,Electronic Notes in Theoretical Computer Science,CORE2020,C,No,0802,1702,,1571-0661,,,
234,Electronic Transactions on Artificial Intelligence,CORE2020,C,No,0801,1702,,1403-3534,,,
345,Empirical Software Engineering: an international journal,CORE2020,A,No,0803,,,1382-3256,1573-7616,,
190,Engineering Applications of Artificial Intelligence,CORE2020,B,No,0801,,,0952-1976,1873-6769,,
235,Engineering Intelligent Systems for Electrical Engineering and Communications,CORE2020,C,No,0801,,,1472-8915,,,
563,Enterprise Information Systems,CORE2020,C,No,0806,1503,,1751-7575,1751-7583,,
564,Enterprise Modelling and Information Systems Architectures,CORE2020,C,No,0806,,,1860-6059,,,
3,European Journal of Operational Research,CORE2020,A,No,08,01,09,0377-2217,1872-6860,,
140,Evolutionary Computation,CORE2020,A,No,0801,0103,0102,1063-6560,1530-9304,,
236,Evolutionary Intelligence,CORE2020,C,No,0801,,,1864-5909,,,
191,Expert Systems with Applications,CORE2020,B,No,0801,0806,0102,0957-4174,1873-6793,,
237,Expert Systems: the journal of knowledge engineering,CORE2020,C,No,0801,1702,,0266-4720,1468-0394,,
283,Formal Aspects of Computing: applicable formal methods,CORE2020,B,Yes,0802,,,0934-5043,1433-299X,,
284,Formal Methods in System Design,CORE2020,A,No,0802,0805,,0925-9856,1572-8102,,
565,Foundations and Trends in Information Retrieval,CORE2020,Survey/review,Yes,0806,0801,,1554-0669,1554-0677,,
317,Foundations and Trends in Theoretical Computer Science,CORE2020,survey/review journal,Yes,0802,,,1551-305X,1551-3068,,
4,Foundations of Computational Mathematics,CORE2020,A,No,08,01,,1615-3375,1615-3383,,
301,Fundamenta Informaticae,CORE2020,B,No,0802,,,0169-2968,1875-8681,,
449,"Future Generation Computer Systems: the international journal of grid computing: theory, methods and applications",CORE2020,A,No,0805,,,0167-739X,1872-7115,,
73,Fuzzy Sets and Systems,CORE2020,A,No,0801,0101,,0165-0114,1872-6801,,
238,Graphical Models,CORE2020,C,No,0801,,,1077-3169,1524-0711,1049-9652,
83,Graphs and Combinatorics,CORE2020,B,No,0802,0101,,0911-0119,1435-5914,,
566,Health Informatics Journal,CORE2020,C,No,0806,0807,,1460-4582,1741-2811,1355-4743,0965-8335
318,Higher Order and Symbolic Computation,CORE2020,C,No,0802,1702,,1388-3690,1573-0557,0892-4635,
534,Human IT:  Journal of information technology studies as a human science,CORE2020,B,No,0806,,,1402-151X,,,
29,Human-Computer Interaction,CORE2020,A,No,08,17,12,0737-0024,1532-7051,,
50,IAENG International Journal of Computer Science,CORE2020,C,No,08,,,1819-656X,1819-9224,,
125,IBIS,CORE2020,B,No,0806,0608,,0019-1019,1474-919X,,
346,IBM Journal of Research and Development,CORE2020,B,Yes,0803,0806,,0018-8646,,,
410,Identity in the Information Society,CORE2020,Not ranked,No,0803,0804,,1876-0678,,,
389,IEEE - ACM Transactions on Computational Biology and Bioinformatics,CORE2020,C,No,0803,0801,0903,1557-9964,1545-5963,,
457,IEEE ACM Transactions on Networking,CORE2020,A*,No,0805,,,1063-6692,1558-2566,,
790,IEEE Annals of the History of Computing,CORE2020,Survey review,Yes,0899,2202,1702,1058-6180,1934-1547,,
192,IEEE Computer Graphics and Applications,CORE2020,B,No,0801,1702,,0272-1716,1558-1756,,
478,IEEE Distributed Systems Online,CORE2020,C,No,0805,,,1541-4922,,,
141,IEEE Intelligent Systems,CORE2020,A,No,0801,1702,,1541-1672,1941-1294,1094-7167,0885-9000
462,IEEE Internet Computing,CORE2020,B,No,0805,,,1089-7801,1941-0131,,
70,IEEE Journal of Biomedical and Health Informatics (was IEEE Transactions on Information Technology in Biomedicine),CORE2020,A*,No,08,09,11,1089-7771,1558-0032,,
390,IEEE MultiMedia Magazine,CORE2020,C,No,0803,,,1070-986X,1941-0166,,
450,IEEE Pervasive Computing,CORE2020,A,No,0805,,,1536-1268,1558-2590,,
837,IEEE Robotics and Automation magazine,CORE2020,B,No,0801,0913,0906,1070-9932,,,
424,IEEE Security and Privacy Magazine,CORE2020,B,No,0804,,,1540-7993,,,
367,IEEE Software,CORE2020,B,No,0803,,,0740-7459,,,
360,IEEE Transactions on Computers,CORE2020,A*,No,0803,,,0018-9340,,,
